date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
2025-04-01,NFLX,2025-05-02,930.00,Call,53.10,54.90,0.4963,0.5316,0.0029,-0.8992,1.0750,0.3733
2025-04-01,NFLX,2025-05-02,930.00,Put,51.45,54.50,0.4951,-0.4697,0.0030,-0.8226,1.0750,-0.3506
2025-04-01,NFLX,2025-05-02,945.00,Call,45.65,47.45,0.4899,0.4866,0.0030,-0.8875,1.0779,0.3442
2025-04-01,NFLX,2025-05-02,945.00,Put,58.70,62.50,0.4894,-0.5150,0.0030,-0.8107,1.0745,-0.3795
2025-04-01,NFLX,2025-05-02,965.00,Call,37.20,38.55,0.4836,0.4269,0.0029,-0.8590,1.0605,0.3045
2025-04-01,NFLX,2025-05-02,965.00,Put,70.10,73.55,0.4823,-0.5757,0.0030,-0.7791,1.0659,-0.4154
2025-04-01,NFLX,2025-05-02,985.00,Call,29.60,32.15,0.4825,0.3704,0.0028,-0.8227,1.0214,0.2658
2025-04-01,NFLX,2025-05-02,985.00,Put,81.55,84.40,0.4629,-0.6402,0.0030,-0.7056,1.0059,-0.4455
2025-04-01,NFLX,2025-05-02,1005.00,Call,23.15,24.35,0.4693,0.3118,0.0027,-0.7477,0.9565,0.2257
2025-04-01,NFLX,2025-05-02,1005.00,Put,95.10,99.75,0.4651,-0.6944,0.0028,-0.6586,0.9644,-0.4679
2025-04-01,NFLX,2025-05-02,1020.00,Call,18.95,20.45,0.4655,0.2725,0.0026,-0.6954,0.8985,0.1982
2025-04-01,NFLX,2025-05-02,1020.00,Put,106.30,110.35,0.4604,-0.7352,0.0027,-0.6031,0.9114,-0.4779
2025-04-01,NFLX,2025-05-02,1045.00,Call,13.80,14.85,0.4598,0.2151,0.0023,-0.6073,0.7909,0.1575
2025-04-01,NFLX,2025-05-02,1045.00,Put,125.60,129.75,0.4515,-0.7982,0.0024,-0.4975,0.7888,-0.4822
2025-04-01,NFLX,2025-05-02,1070.00,Call,9.60,11.60,0.4640,0.1682,0.0020,-0.5219,0.6799,0.1236
2025-04-01,NFLX,2025-05-02,1070.00,Put,146.60,150.80,0.4466,-0.8504,0.0020,-0.3960,0.6514,-0.4677
2025-04-01,NFLX,2025-05-02,1090.00,Call,7.30,7.80,0.4535,0.1299,0.0017,-0.4285,0.5720,0.0960
2025-04-01,NFLX,2025-05-02,1090.00,Put,163.80,169.60,0.4499,-0.8814,0.0017,-0.3330,0.5234,-0.4470
2025-04-01,NFLX,2025-05-02,1115.00,Call,5.05,5.35,0.4510,0.0957,0.0013,-0.3419,0.4598,0.0710
2025-04-01,NFLX,2025-05-02,1115.00,Put,185.75,192.65,0.4385,-0.9225,0.0014,-0.2259,0.3804,-0.3854
2025-04-01,NFLX,2025-05-16,745.00,Call,194.70,198.45,0.5316,0.9047,0.0009,-0.4180,0.5550,0.7933
2025-04-01,NFLX,2025-05-16,745.00,Put,8.15,8.45,0.5286,-0.0948,0.0009,-0.3122,0.5743,-0.1101
2025-04-01,NFLX,2025-05-16,765.00,Call,176.95,179.55,0.5104,0.8863,0.0011,-0.4474,0.6302,0.7948
2025-04-01,NFLX,2025-05-16,765.00,Put,10.25,10.70,0.5167,-0.1170,0.0011,-0.3541,0.6526,-0.1354
2025-04-01,NFLX,2025-05-16,790.00,Call,155.75,158.50,0.5023,0.8510,0.0014,-0.5117,0.7590,0.7804
2025-04-01,NFLX,2025-05-16,790.00,Put,13.75,14.25,0.5044,-0.1511,0.0014,-0.4118,0.7803,-0.1740
2025-04-01,NFLX,2025-05-16,810.00,Call,140.00,142.65,0.5002,0.8164,0.0016,-0.5683,0.8683,0.7603
2025-04-01,NFLX,2025-05-16,810.00,Put,17.45,18.50,0.5005,-0.1852,0.0016,-0.4627,0.8887,-0.2116
2025-04-01,NFLX,2025-05-16,835.00,Call,120.25,122.60,0.4846,0.7722,0.0019,-0.6136,0.9864,0.7342
2025-04-01,NFLX,2025-05-16,835.00,Put,23.00,23.70,0.4886,-0.2311,0.0019,-0.5121,0.9753,-0.2622
2025-04-01,NFLX,2025-05-16,855.00,Call,106.45,107.55,0.4804,0.7285,0.0021,-0.6505,1.0818,0.7020
2025-04-01,NFLX,2025-05-16,855.00,Put,28.50,28.90,0.4808,-0.2732,0.0021,-0.5478,1.1041,-0.3062
2025-04-01,NFLX,2025-05-16,875.00,Call,92.35,94.00,0.4702,0.6844,0.0023,-0.6811,1.1606,0.6685
2025-04-01,NFLX,2025-05-16,875.00,Put,34.75,35.45,0.4744,-0.3195,0.0023,-0.5771,1.1678,-0.3553
2025-04-01,NFLX,2025-05-16,890.00,Call,83.25,84.60,0.4681,0.6472,0.0024,-0.7018,1.2123,0.6374
2025-04-01,NFLX,2025-05-16,890.00,Put,39.80,40.80,0.4678,-0.3561,0.0024,-0.5905,1.2177,-0.3921
2025-04-01,NFLX,2025-05-16,910.00,Call,71.25,73.50,0.4645,0.5960,0.0025,-0.7185,1.2639,0.5930
2025-04-01,NFLX,2025-05-16,910.00,Put,47.90,48.65,0.4609,-0.4079,0.0026,-0.6017,1.2618,-0.4422
2025-04-01,NFLX,2025-05-16,930.00,Call,60.15,62.30,0.4559,0.5433,0.0026,-0.7164,1.2939,0.5464
2025-04-01,NFLX,2025-05-16,930.00,Put,57.00,57.95,0.4554,-0.4618,0.0027,-0.6032,1.2930,-0.4901
2025-04-01,NFLX,2025-05-16,945.00,Call,52.95,54.40,0.4506,0.5027,0.0027,-0.7082,1.3014,0.5093
2025-04-01,NFLX,2025-05-16,945.00,Put,63.75,65.85,0.4491,-0.5033,0.0027,-0.5929,1.2938,-0.5251
2025-04-01,NFLX,2025-05-16,965.00,Call,44.00,45.60,0.4455,0.4487,0.0027,-0.6899,1.2906,0.4584
2025-04-01,NFLX,2025-05-16,965.00,Put,75.45,76.70,0.4440,-0.5586,0.0027,-0.5761,1.2848,-0.5723
2025-04-01,NFLX,2025-05-16,985.00,Call,36.15,36.95,0.4373,0.3944,0.0027,-0.6551,1.2554,0.4064
2025-04-01,NFLX,2025-05-16,985.00,Put,86.65,89.10,0.4370,-0.6142,0.0027,-0.5394,1.2595,-0.6056
2025-04-01,NFLX,2025-05-16,1005.00,Call,29.10,29.85,0.4302,0.3416,0.0026,-0.6117,1.1973,0.3547
2025-04-01,NFLX,2025-05-16,1005.00,Put,100.25,102.55,0.4343,-0.6663,0.0026,-0.5024,1.1656,-0.6317
2025-04-01,NFLX,2025-05-16,1020.00,Call,24.35,25.30,0.4249,0.3035,0.0025,-0.5734,1.1400,0.3169
2025-04-01,NFLX,2025-05-16,1020.00,Put,110.55,113.20,0.4296,-0.7051,0.0026,-0.4646,1.1045,-0.6447
2025-04-01,NFLX,2025-05-16,1045.00,Call,18.65,19.00,0.4218,0.2474,0.0022,-0.5118,1.0306,0.2600
2025-04-01,NFLX,2025-05-16,1045.00,Put,129.40,132.35,0.4257,-0.7639,0.0023,-0.4011,1.0272,-0.6502
2025-04-01,NFLX,2025-05-16,1070.00,Call,13.75,14.10,0.4175,0.1969,0.0020,-0.4427,0.9045,0.2083
2025-04-01,NFLX,2025-05-16,1070.00,Put,149.85,154.25,0.4316,-0.8093,0.0021,-0.3504,0.8715,-0.6417
2025-04-01,NFLX,2025-05-16,1090.00,Call,10.70,11.00,0.4149,0.1620,0.0018,-0.3879,0.8001,0.1721
2025-04-01,NFLX,2025-05-16,1090.00,Put,166.30,171.70,0.4285,-0.8466,0.0019,-0.2940,0.7774,-0.6133
2025-04-01,NFLX,2025-05-16,1110.00,Call,8.25,8.50,0.4126,0.1318,0.0015,-0.3348,0.6964,0.1405
2025-04-01,NFLX,2025-05-16,1110.00,Put,183.75,187.60,0.4108,-0.8911,0.0017,-0.2106,0.5943,-0.5380
